evidence_id,source_url,official_host,retained_artifact_path,raw_sha256,retained_byte_count,blocker_targeted,evidence_relevance,establishes_official_archive_release_date,establishes_fx_unit_continuity,resolves_blocker,non_evidence_signals_rejected,assessment
wb_helpdesk_wdi_topic,https://datahelpdesk.worldbank.org/knowledgebase/topics/19286-world-development-indicators-wdi,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_wdi_topic.html,72e81439b5588b79d18d6d2eb90f0a6b18767e0741811676d347a85d67b15b17,233525,blocker_1_archive_release_availability,navigational,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,"official WDI topic index; links to Data Updates and Compilation Methodology, no release-date record for archive editions"
wb_helpdesk_data_updates_topic,https://datahelpdesk.worldbank.org/knowledgebase/topics/19282-data-updates,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_data_updates_topic.html,38177b55a60c1b83ed2049a5a53c768e449bcc9d07b82a73a89e8b4555f2e192,231961,blocker_1_archive_release_availability,navigational,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,official Data Updates topic index; no archive-edition release log
wb_helpdesk_methodology_topic,https://datahelpdesk.worldbank.org/knowledgebase/topics/19373-data-compilation-methodology,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_methodology_topic.html,a23310788c2085512f079c9d04e96e716e50db496d2ddbfa2dc09d6f573a8d51,233967,blocker_2_fx_semantic_continuity,navigational,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,official Data Compilation Methodology index; no Iranian denomination or unit-break article
wb_kb_data_updates_and_errata,https://datahelpdesk.worldbank.org/knowledgebase/articles/906522-data-updates-and-errata,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_data_updates_and_errata.html,2da8b1bd692ed0d5778a3e8b673b58cf6adf4c3c71e02b2bdf4257ad214413d7,340548,blocker_1_archive_release_availability,partial_non_resolving,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,"official dated announcements of WDI DATABASE updates for 2010-2024. They are database-update statements, not archive-edition publication records, and several announced dates differ from the archive filename tokens, so they cannot be mapped onto an edition without official confirmation"
wb_kb_atlas_method_detailed,https://datahelpdesk.worldbank.org/knowledgebase/articles/378832-the-world-bank-atlas-method-detailed-methodology,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_atlas_method_detailed.html,5e6d853a8a9e6fd7ed63c50a4c97687e57851c2d609c0c3ba8886415c8518e42,247684,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,"official Atlas-method methodology covering alternative conversion factors; it does not state the Iranian local-currency denomination, valuation convention or any redenomination/unit break"
wdi_release_note_toc,https://datatopics.worldbank.org/world-development-indicators/release-note-toc.html,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wdi_release_note_toc.html,483022eee912ee04df6ea703ef23be2b1e5639e59d87769f250339b4e0d42360,74106,blocker_1_archive_release_availability,partial_non_resolving,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,official WDI release notes exist only from December 2024 onward; no official release note covers the historical editions behind the 37 development cutoffs
wb_kb_calendar_year_reporting,https://datahelpdesk.worldbank.org/knowledgebase/articles/201203-are-all-wdi-series-on-a-calendar-year-reporting-pe,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_calendar_year_reporting.html,cfddbed21c93134c0a8f1a6fb5372fab98465ab5f1b7601d7bb1a9e38cbe9d1c,232871,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,official statement that fiscal-year reporting is assigned to a calendar year; supports annual period semantics but says nothing about currency denomination or unit continuity
wb_data_pa_nus_fcrf_irn,https://data.worldbank.org/indicator/PA.NUS.FCRF?locations=IR,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_data_pa_nus_fcrf_irn.html,4277ca3f819b021a81b2073d17e0aaa2a3495b5417db40a4fef5f3b3d0707ea7,1147563,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,official indicator page for PA.NUS.FCRF / Iran confirms only the series title and the IMF IFS source; the title alone is explicitly insufficient for unit continuity
wb_helpdesk_all_articles_index,https://datahelpdesk.worldbank.org/knowledgebase/articles/all,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_all_articles_index.html,2649685e1f4fff12d0f86c600b229109a64ace58074ea3a604cb4853fb7e5204,263983,both_blockers,negative_result,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,the complete official Help Desk article index contains no article on archive release dates and none on Iranian rial denomination or redenomination
wb_kb_dec_conversion_factor,https://datahelpdesk.worldbank.org/knowledgebase/articles/77935-what-is-the-dec-conversion-factor,True,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_dec_conversion_factor.html,d0c149345b0e67bd9a773be7f37bd802cb3a28aaf166bc021565a90af4dca4f3,232256,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,False,filename_token;url_token;retrieval_timestamp;http_last_modified;zip_member_timestamp;workbook_properties;local_file_mtime;workbook_year_columns;cache_date;search_engine_snippet,"official statement that the official exchange rate is the IMF IFS rate on a calendar-year basis; no Iranian denomination, valuation or unit-break statement"
