ticker,request_InsCode,request_ISIN,current_raw_instrumentID,current_raw_cIsin,request_ISIN_equals_instrumentID,request_ISIN_equals_cIsin,historical_probe_count,candidate_historical_InsCode,evidence_status,histories_concatenated,ins_code_zero_used_as_predecessor
بالبر,62952165421099192,IRO1KALZ0001,IRO1KALZ0001,IRO1KALZ0002,true,false,4,,UNRESOLVED,False,False
بترانس,46752599569017089,IRO1TRNS0001,IRO1TRNS0001,IRO1TRNS0001,true,true,4,,UNRESOLVED,False,False
بموتو,22086876724551482,IRO1MOTJ0001,IRO1MOTJ0001,IRO1MOTJ0006,true,false,4,,UNRESOLVED,False,False
بکاب,70219663893822560,IRO1JOSH0001,IRO1JOSH0001,IRO1JOSH0004,true,false,4,,UNRESOLVED,False,False
بکام,22382156782768756,IRO1KGND0001,IRO1KGND0001,IRO1KGND0000,true,false,4,,UNRESOLVED,False,False
تپمپی,43062880954780884,IRO1PIRN0001,IRO1PIRN0001,IRO1PIRN0007,true,false,4,,UNRESOLVED,False,False
تکمبا,30719054967088301,IRO1COMB0001,IRO1COMB0001,IRO1COMB0003,true,false,4,,UNRESOLVED,False,False
ثشرق,6043384171800349,IRO1PMSZ0001,IRO1PMSZ0001,IRO1PMSZ0006,true,false,2,,UNRESOLVED,False,False
ثنوسا,32845891587040106,IRO1NSTH0001,IRO1NSTH0001,IRO1NSTH0003,true,false,4,,UNRESOLVED,False,False
جم,32357363984168442,IRO1PJMZ0001,IRO1PJMZ0001,IRO1PJMZ0007,true,false,2,,UNRESOLVED,False,False
حپترو,16369313804633525,IRO1HJPT0001,IRO1HJPT0001,IRO1HJPT0002,true,false,4,,UNRESOLVED,False,False
حکشتی,60610861509165508,IRO1KSHJ0001,IRO1KSHJ0001,IRO1KSHJ0008,true,false,4,,UNRESOLVED,False,False
خاذین,42075223783409640,IRO1AZIN0001,IRO1AZIN0001,IRO1AZIN0004,true,false,4,,UNRESOLVED,False,False
خبهمن,26824673819862694,IRO1BHMN0001,IRO1BHMN0001,IRO1BHMN0009,true,false,4,,UNRESOLVED,False,False
ختوقا,70289374539527245,IRO1GHAT0001,IRO1GHAT0001,IRO1GHAT0002,true,false,4,,UNRESOLVED,False,False
خرینگ,45895339414786358,IRO1RINM0001,IRO1RINM0001,IRO1RINM0000,true,false,4,,UNRESOLVED,False,False
خمحور,7457232989848872,IRO1TMKH0001,IRO1TMKH0001,IRO1TMKH0002,true,false,4,,UNRESOLVED,False,False
خمهر,17330546482145553,IRO1MHKM0001,IRO1MHKM0001,IRO1MHKM0009,true,false,4,,UNRESOLVED,False,False
خنصیر,17834623106317041,IRO1MNSR0001,IRO1MNSR0001,IRO1MNSR0008,true,false,4,,UNRESOLVED,False,False
خوساز,31879190587976736,IRO1MESI0001,IRO1MESI0001,IRO1MESI0000,true,false,4,,UNRESOLVED,False,False
خچرخش,33783140337377394,IRO1CHAR0001,IRO1CHAR0001,IRO1CHAR0008,true,false,4,,UNRESOLVED,False,False
خکمک,19257295292088310,IRO1INDM0001,IRO1INDM0001,IRO1INDM0006,true,false,4,,UNRESOLVED,False,False
ددام,66450490505950110,IRO1DAML0001,IRO1DAML0001,IRO1DAML0006,true,false,4,,UNRESOLVED,False,False
دروز,40262275031537922,IRO1ROZD0001,IRO1ROZD0001,IRO1ROZD0009,true,false,4,,UNRESOLVED,False,False
دسبحا,43622578471330344,IRO1DSOB0001,IRO1DSOB0001,IRO1DSOB0006,true,false,4,,UNRESOLVED,False,False
دسینا,11432067920374603,IRO1DSIN0001,IRO1DSIN0001,IRO1DSIN0000,true,false,4,,UNRESOLVED,False,False
