file_path,file_type,sha256
src/stage124_batch02_v2.py,source_code,747c0d9d89f639fee69692a94284a2ca06a96944e8d1bfb87334adcd6e311ed8
src/stage124_batch02_v2_research.json,source_data,20c807a871b89acec70265ac0e01eceb0c3bf488ec95a6ebf4df330941198e72
run_stage124_batch02_v2.py,runner,eea6cfc149047932ffa7a3c748fdde9c50fb366dbaa32aad8c69d0771889bfab
tests/test_stage124_batch02_v2.py,test_code,6d222f00ea2b0facfa36b47da2eed4f0507aa03bf0b2e7d501f8d0ae6a1006fb
stage124/listing_pending_priority_stage124_batch02_v2.csv,output,e7318da7ca9b4a9f3c889fc5ddda93a3e6433c0dbe58bc7051b51388e4f768c3
stage124/listing_batch02_selected_tickers_v2.csv,output,1f61041eaf1201dd49d028fcccfe7b6112b4e7d47bbcdd29056344c87bdba0d0
stage124/listing_batch02_research_candidates_v2.csv,output,4854bfc5534956562cc08a1987558817e7bed4fa5e3da74ed4192ae652fe7b8e
stage124/listing_batch02_source_provenance_v2.csv,output,f37a44303c977ba2953c22994625ab2dc9306df4ae73dac4524702fb91df8474
stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,output,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6
stage124/listing_batch02_user_review_template_v2.csv,output,33254902ac2d562089cfcf2da4fa664600edc7a7771e85e8cf2439d8ccc9ad53
stage124/stage124_batch02_gate_a_v2_qc_report.json,metadata,614431ef9310e436260796beb1573b4a8c7d8e39373849a633327be0b84b8675
stage124/metadata_and_hashes_stage124_batch02_gate_a_v2.json,metadata,bed24a1a93ef29a575836d2e04eb07baf2849ae396c5311a12b79db15e11bf2f
stage124/stage124_batch02_gate_a_v2_unit_test_output.txt,test_output,b4053d7a3ae6a91834e86c55be7eba448e08c3954818f860bfedee11b4709e65
stage124/README_STAGE124_BATCH02_GATE_A_V2.md,documentation,a014709b333b240b52b657196ff969fa12ea9ec0e57f7d89e361fd57812d0257
stage124/stage124_batch02_gate_a_v2_change_log.md,documentation,0daf522556ccfc8315b806f08244d90bb3b2284a9d98f34125be77bad15a7791
stage124/external_hash_manifest_stage124_batch02_gate_a_v2.csv,manifest,
