ticker,source_index,source_type,source_title,source_url,source_date_hint,retrieved_at,raw_response_sha256,snapshot_status,notes
زپارس,1,market_media,زمان عرضه اولیه زپارس | دنیای بورس,https://donyayebourse.com/news/30530,1397,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
زپارس,2,company_official_website,اطلاعات شرکت در بورس - شرکت ملی پارس,https://parsagroinc.ir/اطلاعات-شرکت-در-بورس,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
زپارس,3,tsetmc_api,TSETMC instrument search for زپارس (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%B2%D9%BE%D8%A7%D8%B1%D8%B3,,2026-06-26T10:42:07Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%B2%D9%BE%D8%A7%D8%B1%D8%B3 (Caused by ReadTimeoutError(""HTTPSConnectionPool"
برکت,1,market_media,دیلی تحلیل - عرضه اولیه هلدینگ گروه دارویی برکت,https://www.dailytahlil.com/content?cid=51991,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
برکت,2,market_media,معرفی کامل نماد برکت - سهام‌بین,https://sahambin.com/post/1533,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
برکت,3,tsetmc_api,TSETMC instrument search for برکت (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%A8%D8%B1%DA%A9%D8%AA,,2026-06-26T10:39:18Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D8%B1%DA%A9%D8%AA (Caused by ReadTimeoutError(""HTTPSConnectionPool(host="
بکاب,1,market_media,سهام بکاب - علیرضا مهرابی,https://alirezamehrabi.com/saham/electrical-machinery/josh,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
بکاب,2,market_media,بکاب صنایع جوشکاب یزد - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/bekab-1150.html,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
بکاب,3,tsetmc_api,TSETMC instrument search for بکاب (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%A8%DA%A9%D8%A7%D8%A8,,2026-06-26T10:39:28Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%DA%A9%D8%A7%D8%A8 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host="
جم,1,news_agency,تاریخ عرضه اولیه پتروشیمی جم مشخص شد - ایسنا,https://www.isna.ir/news/92060604013/,1392-06-06,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
جم,2,market_media,جم پتروشیمی جم - نبض بورس,https://nabzebourse.com/fa/tags/5436/1/,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
جم,3,tsetmc_api,TSETMC instrument search for جم (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%AC%D9%85,,2026-06-26T10:40:04Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AC%D9%85 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='cdn.tsetmc."
بترانس,1,market_media,شرکت ایران ترانسفو - آموزش بورس,https://amoozesh-boors.com/fa/stocks/بترانس,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
بترانس,2,market_media,بترانس ایران ترانسفو - دیتابورس,https://databourse.ir/symbol/بترانس,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
بترانس,3,tsetmc_api,TSETMC instrument search for بترانس (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%A8%D8%AA%D8%B1%D8%A7%D9%86%D8%B3,,2026-06-26T10:39:13Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D8%AA%D8%B1%D8%A7%D9%86%D8%B3 (Caused by ReadTimeoutError(""HTTPSConnecti"
تاپیکو,1,market_media,تاپیکو سرمایه گذاری نفت و گاز - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/tapiko-1170.html,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
تاپیکو,2,company_official_website,تاپیکو | شرکت سرمایه گذاری نفت و گاز,https://www.tappico.com/en/,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
تاپیکو,3,tsetmc_api,TSETMC instrument search for تاپیکو (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%AA%D8%A7%D9%BE%DB%8C%DA%A9%D9%88,,2026-06-26T10:39:39Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AA%D8%A7%D9%BE%DB%8C%DA%A9%D9%88 (Caused by ReadTimeoutError(""HTTPSConnecti"
تکمبا,1,market_media,تحلیل بنیادی تکمبا - انیگما,https://enigma.ir/blog/tekomba-fundamental-analysis/,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
تکمبا,2,market_media,تکمبا کمباین سازی ایران - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/tekomba-1176.html,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
تکمبا,3,tsetmc_api,TSETMC instrument search for تکمبا (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%AA%DA%A9%D9%85%D8%A8%D8%A7,,2026-06-26T10:39:49Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AA%DA%A9%D9%85%D8%A8%D8%A7 (Caused by ReadTimeoutError(""HTTPSConnectionPool"
ددام,1,market_media,ددام داروسازی زاگرس فارمد پارس - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/dedam-1244.html,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
ددام,2,company_official_website,داروسازی زاگرس فارمد پارس,https://zagrospharmed.com/,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
ددام,3,tsetmc_api,TSETMC instrument search for ددام (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%AF%D8%AF%D8%A7%D9%85,,2026-06-26T10:41:11Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AF%D8%AF%D8%A7%D9%85 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host="
ذوب,1,company_official_website,جزئیات انتقال نماد ذوب به بورس,https://www.esfahansteel.ir/page-main/fa/0/dorsaetoolsenews/19197-G0,,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
ذوب,2,news_agency,انتقال ذوب از فرابورس به بورس - ایسنا,https://www.isna.ir/news/1400050301194/,1400-05-03,2026-06-26T10:48:55Z,,not_fetched_in_gate_a,Source identified during Gate A research; raw snapshot not captured in this pass.
ذوب,3,tsetmc_api,TSETMC instrument search for ذوب (network unreachable),https://cdn.tsetmc.com/api/Instrument/GetInstrumentSearch/%D8%B0%D9%88%D8%A8,,2026-06-26T10:41:46Z,,retrieval_failed_network_unreachable,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%B0%D9%88%D8%A8 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='cdn.t"
