archive_edition_id,archive_year,archive_month,official_listing_url,official_download_url,edition_date_token,edition_date_token_source,edition_date_token_exact,release_date_explicitly_stated_by_official_source,release_date_evidence_artifact,release_date_evidence_locator,release_date_source,listed_release_date,listed_release_time,release_time_exact,release_date_verified,release_available_at_derivation_status,derived_release_available_at_utc,date_only_next_day_rule_applied,non_evidence_for_release_time,discovery_chain_artifact,raw_listing_sha256,retrieval_timestamp_utc,unresolved_reason
WDI_2005_04,2005,04,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2005_04.zip,2005-04,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2005_09,2005,09,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2005_09.zip,2005-09,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2006_04,2006,04,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2006_04.zip,2006-04,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2006_09,2006,09,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2006_09.zip,2006-09,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2007_04,2007,04,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2007_04.zip,2007-04,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2007_09,2007,09,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2007_09.zip,2007-09,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2008_04,2008,04,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2008_04.zip,2008-04,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2008_09,2008,09,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2008_09.zip,2008-09,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2008_12,2008,12,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2008_12.zip,2008-12,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
WDI_2009_05,2009,05,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,https://databank.worldbank.org/data/download/archive/WDI_2009_05.zip,2009-05,official_listing_download_filename,False,False,,,,,,False,False,UNRESOLVED_FILENAME_DATE_TOKEN_NOT_VERIFIED_AS_RELEASE_DATE,,False,retrieval timestamp; HTTP Last-Modified header; ZIP member timestamp; workbook document properties; file-system mtime; the observation years present in the file,wb_wdi_archive_listing,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,2026-08-03T10:35:03Z,the official listing states year and month only for this edition; a month is not a release date
